1.040590375538304052e-01 9.868723632812500000e+03 5.215518554687500000e+03 2.326602539062500000e+03
1.125066283787592991e-01 8.701408203125000000e+03 4.786570800781250000e+03 1.957418579101562500e+03
1.216400009716438052e-01 7.662726562500000000e+03 4.377015625000000000e+03 1.642855468750000000e+03
1.315148276114810888e-01 6.737891601562500000e+03 3.987671142578125000e+03 1.375110107421875000e+03
1.421913000946918026e-01 5.912708496093750000e+03 3.619263916015625000e+03 1.146722290039062500e+03
1.537344966329382001e-01 5.184801757812500000e+03 3.271962402343750000e+03 9.564196777343750000e+02
1.662147785359844865e-01 4.530021972656250000e+03 2.945907226562500000e+03 7.920573730468750000e+02
1.797082190975677063e-01 3.958253417968750000e+03 2.641207763671875000e+03 6.585227661132812500e+02
1.942970672985478986e-01 3.444363281250000000e+03 2.357360107421875000e+03 5.435016479492187500e+02
2.100702491538262995e-01 2.992536132812500000e+03 2.093839599609375000e+03 4.493482360839843750e+02
2.271239097589839995e-01 2.589507568359375000e+03 1.849984497070312500e+03 3.697615051269531250e+02
2.455619993406741031e-01 2.228017578125000000e+03 1.624450317382812500e+03 3.017836303710937500e+02
2.654969068830235757e-01 1.894313476562500000e+03 1.416110717773437500e+03 2.391013488769531250e+02
2.870501451923037073e-01 1.596889404296875000e+03 1.224671264648437500e+03 1.861090850830078125e+02
3.103530915756642083e-01 1.335371826171875000e+03 1.049609497070312500e+03 1.428811798095703125e+02
3.355477886487239769e-01 1.107645874023437500e+03 8.904624023437500000e+02 1.085917129516601562e+02
3.627878101533222877e-01 9.074588623046875000e+02 7.468641967773437500e+02 8.029733276367187500e+01
3.922391970630069169e-01 7.353564453125000000e+02 6.182962646484375000e+02 5.853009796142578125e+01
4.240814696822673979e-01 5.881766967773437500e+02 5.042126464843750000e+02 4.198202896118164062e+01
4.585087219087455868e-01 4.619109497070312500e+02 4.040893859863281250e+02 2.891077423095703125e+01
4.957308043284732180e-01 3.566602783203125000e+02 3.172609558105468750e+02 1.969966316223144531e+01
5.359746033556697098e-01 2.684817504882812500e+02 2.429785614013671875e+02 1.275158882141113281e+01
5.794854242140700107e-01 1.961257171630859375e+02 1.805174865722656250e+02 7.804112911224365234e+00
6.265284861897150170e-01 1.381892852783203125e+02 1.290914001464843750e+02 4.548940658569335938e+00
6.773905392694863359e-01 9.224477386474609375e+01 8.790347290039062500e+01 2.170650482177734375e+00
7.323816120195716373e-01 5.776987457275390625e+01 5.630830383300781250e+01 7.307850122451782227e-01
7.918369013580173199e-01 3.391202545166015625e+01 3.390542602539062500e+01 3.298788098618388176e-03
8.561188157404351351e-01 1.968133926391601562e+01 1.968171691894531250e+01 -1.886305253719910979e-04
9.256191842130599978e-01 1.096805667877197266e+01 1.096621608734130859e+01 9.205071255564689636e-04
1.000761644798393135e+00 5.757493019104003906e+00 5.757479667663574219e+00 6.713111815770389512e-06
1.082004226771788424e+00 2.768183231353759766e+00 2.768493175506591797e+00 -1.549735170556232333e-04
