2.299928645204219954e-02 2.957480970982143117e+04 4.198311692125755144e+03
1.605136715112512880e-01 3.827843520782396354e+03 1.276867465357759528e+02
3.000862962569790793e-01 1.605134348907443609e+03 3.374240978478262321e+01
4.400896203519878980e-01 1.018791395368004601e+03 1.585825413823484276e+01
5.801037515926483756e-01 7.543799558425525902e+02 5.436780291237395701e+00
7.201310715139523921e-01 6.313537861780232561e+02 3.113156924664417513e+00
8.600940791816231723e-01 5.516269211065573472e+02 3.290385496920039898e+00
1.000113719300012027e+00 5.066241214462103244e+02 1.023152267509088720e+00
1.140132333779666718e+00 4.718618411482325428e+02 3.370058758230213058e+00
1.280034350847161440e+00 4.458799632862620683e+02 2.013578469763166456e+00
1.420056938083740450e+00 4.247018135181000389e+02 1.164756615030346332e+00
1.560111320716477845e+00 4.055661620728462822e+02 1.442286935453607644e+00
1.700087200432607526e+00 3.892235945205479766e+02 6.569771085307519742e-01
1.840047880507517108e+00 3.725811538425522826e+02 1.121298207433488514e+00
1.980062138087413270e+00 3.566728698143885481e+02 4.980242676521490774e-01
2.120034428813746707e+00 3.426675915259476142e+02 8.861170404607494611e-01
2.260043884848191187e+00 3.269574775656006977e+02 6.508741217729012707e-01
2.400038424152488137e+00 3.138234899604440216e+02 8.082793600993178895e-01
2.540046972230765032e+00 3.005126996313366021e+02 5.371753186461160068e-01
2.680021021197172892e+00 2.878036001088282205e+02 1.224299334744990642e+00
2.820034503020290018e+00 2.756796387924804321e+02 3.924500193413458238e-01
2.960035053847134279e+00 2.632330778894020114e+02 5.048604770480487058e-01
3.100002583674890122e+00 2.519177950474183376e+02 7.264828430421790273e-01
3.240026198851244210e+00 2.417580811364963438e+02 4.917908872228005102e-01
3.380044507756539751e+00 2.310864208109837818e+02 5.374734512323749991e-01
3.520004307410850686e+00 2.213993271119404938e+02 7.405578712757311388e-01
3.659997100737676590e+00 2.125993937875040842e+02 3.682956756867986070e-01
3.800011927855902361e+00 2.039114767163839019e+02 5.271507727831786783e-01
3.940008358237780950e+00 1.956850267357901316e+02 6.821263477296226618e-01
4.080023680052281776e+00 1.875388258364438911e+02 4.039613670806276313e-01
4.220011322646527674e+00 1.802534177953016865e+02 3.459101019065856653e-01
4.360033951368816219e+00 1.729878736831623200e+02 4.440521144911596108e-01
4.500024531632345060e+00 1.662710656755823493e+02 3.593209721233949772e-01
4.640037073059453121e+00 1.598003849415106004e+02 2.071490071375839126e-01
4.780008852190669622e+00 1.535153107797847838e+02 4.814530617454504391e-01
4.920013365663256977e+00 1.476527042451438092e+02 3.078933192338406677e-01
5.060031796858984521e+00 1.421083886399374023e+02 2.337998683599859240e-01
5.200015981309567437e+00 1.367514406821689192e+02 2.320133204084543210e-01
5.340021918453459193e+00 1.314533276571904707e+02 3.572429013869561354e-01
5.480014543048791431e+00 1.268343947669068825e+02 9.488607524934103421e-02
5.620009133376764332e+00 1.220649668550750135e+02 2.045076535408102691e-01
5.760016102972104868e+00 1.177053574661668449e+02 2.018002692154722000e-01
5.900003339246929102e+00 1.135013801355042204e+02 9.841975248139474275e-02
6.040012547516521835e+00 1.093378572256806081e+02 3.069227993579560776e-01
6.180001810741019064e+00 1.056441578123604046e+02 1.608281166203447410e-01
6.320023115518986323e+00 1.018533486599788347e+02 1.504372771620486882e-01
